2026820331 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2026983400 = Verdict: Unsolved ; Iters: 17703090 ; Length: -1
2027041041 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2027097567 = Verdict: Unsolved ; Iters: 13528096 ; Length: -1
2027456528 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2027475530 = Verdict: Unsolved ; Iters: 14266752 ; Length: -1
2027585721 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2027597476 = Verdict: Unsolved ; Iters: 12678467 ; Length: -1
2027677565 = Verdict: Unsolved ; Iters: 16669948 ; Length: -1
2027907015 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2028141001 = Verdict: Unsolved ; Iters: 13887106 ; Length: -1
2028144031 = Verdict: Unsolved ; Iters: 19129774 ; Length: -1
2028396305 = Verdict: Unsolved ; Iters: 17477402 ; Length: -1
2028413898 = Verdict: Unsolved ; Iters: 12428185 ; Length: -1
2028507656 = Verdict: Unsolved ; Iters: 12995956 ; Length: -1
2028577082 = Verdict: Unsolved ; Iters: 15338960 ; Length: -1
2028581601 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2028638963 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2028744237 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2028817498 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2028860637 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2028862477 = Verdict: Unsolved ; Iters: 14834987 ; Length: -1
2029052588 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2029311448 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2029438795 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2029745137 = Verdict: Unsolved ; Iters: 14784121 ; Length: -1
2029862284 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2029864179 = Verdict: Unsolved ; Iters: 14442654 ; Length: -1
2029952698 = Verdict: Unsolved ; Iters: 15979032 ; Length: -1
2029965217 = Verdict: Unsolved ; Iters: 11484206 ; Length: -1
2030073447 = Verdict: Unsolved ; Iters: 12807207 ; Length: -1
2030195885 = Verdict: Unsolved ; Iters: 10985884 ; Length: -1
2030371888 = Verdict: Unsolved ; Iters: 12929067 ; Length: -1
2030387233 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2030502153 = Verdict: Unsolved ; Iters: 13864563 ; Length: -1
2030544523 = Verdict: Unsolved ; Iters: 18103782 ; Length: -1
2030550806 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2030621733 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2030736666 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2030925015 = Verdict: Unsolved ; Iters: 13652254 ; Length: -1
2030945703 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2030963620 = Verdict: Unsolved ; Iters: 19829794 ; Length: -1
2031146347 = Verdict: Unsolved ; Iters: 13918881 ; Length: -1
2031178469 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2031296300 = Verdict: Unsolved ; Iters: 12592324 ; Length: -1
2031296872 = Verdict: Unsolved ; Iters: 13992675 ; Length: -1
2031306122 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2031334120 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2031356880 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2031429415 = Verdict: Unsolved ; Iters: 12919404 ; Length: -1
2031440045 = Verdict: Unsolved ; Iters: 12600065 ; Length: -1
2031475283 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2031502531 = Verdict: Unsolved ; Iters: 18584223 ; Length: -1
2031657281 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2031682797 = Verdict: Unsolved ; Iters: 16803735 ; Length: -1
2031688844 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2031787850 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2031808632 = Verdict: Unsolved ; Iters: 11412480 ; Length: -1
2031826706 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2031845632 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2031989346 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2032117452 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2032158843 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2032243457 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2032300365 = Verdict: Unsolved ; Iters: 11900580 ; Length: -1
2032335150 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2032349847 = Verdict: Unsolved ; Iters: 14638888 ; Length: -1
2032410304 = Verdict: Unsolved ; Iters: 14342611 ; Length: -1
2032443215 = Verdict: Unsolved ; Iters: 12774310 ; Length: -1
2032464995 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2032476750 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2032483080 = Verdict: Unsolved ; Iters: 13714921 ; Length: -1
2032524913 = Verdict: Unsolved ; Iters: 15740952 ; Length: -1
2032585665 = Verdict: Unsolved ; Iters: 18615350 ; Length: -1
2032649149 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2032787154 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2032800472 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2032807201 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2032960819 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2033085675 = Verdict: Unsolved ; Iters: 13955730 ; Length: -1
2033170245 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2033220036 = Verdict: Unsolved ; Iters: 13176818 ; Length: -1
2033370713 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2033432002 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2033436828 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2033515513 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2033595720 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2033687394 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2033824823 = Verdict: Unsolved ; Iters: 11280795 ; Length: -1
2033831793 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2033861901 = Verdict: Unsolved ; Iters: 18256252 ; Length: -1
2033884143 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2033910886 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2033979110 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
